flareClass,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
N/A,296.092,4443600000.0,2.143265e+22,6559378000000.0,34.282,2843273000000.0,3.162482e+21,215.202866,-218.06,2896.357,3.25,-0.0931,21.77
M,3738.76,67708000000.0,8.029966e+23,72033330000000.0,316.843,14500580000000.0,5.418586e+22,1717.203247,-10922.0,7607.617,4.694,-0.306,27.593
N/A,1112.105,17370000000.0,2.642522e+23,23334800000000.0,54.954,2058472000000.0,1.376343e+22,705.960754,-1392.0,8621.996,4.079,-0.152,43.674
N/A,984.587,19029000000.0,8.969035e+22,19874750000000.0,110.82,2947275000000.0,1.293273e+22,419.916412,-3091.0,3360.987,3.792,-0.3081,14.955
N/A,29.792,1277600000.0,1.955114e+21,542375500000.0,0.735,224043000000.0,4.895665e+20,26.767143,-73.512,2325.712,0.0,-0.1091,1.58
M,5301.083,62303000000.0,8.556999e+23,98568220000000.0,442.953,8569349000000.0,5.187235e+22,3888.900391,-5137.7,7447.791,4.975,-0.1564,28.875
M,170.289,0.0,2.037654e+22,4261176000000.0,15.469,1001599000000.0,5.78554e+21,142.193222,0.0,1527.605,3.516,0.0,9.478
M,4683.448,66098000000.0,1.157259e+24,86086040000000.0,901.815,41663590000000.0,4.438924e+22,2350.470703,-3219.2,12486.75,4.945,-0.0924,50.156
X,1627.122,0.0,2.165044e+23,29919480000000.0,403.0,10781220000000.0,2.861011e+22,535.171204,0.0,3766.838,4.197,0.0,12.667
M,2815.477,55920000000.0,8.104581e+23,49369480000000.0,713.287,29753810000000.0,3.060858e+22,2942.571533,-3648.5,15445.05,4.658,-0.1238,43.379
N/A,457.629,10779000000.0,1.220546e+23,10005140000000.0,104.176,2177130000000.0,6.205006e+21,540.445557,-14.885,8628.004,3.224,-0.0026,43.438
M,2933.893,64106000000.0,9.935119e+23,48699980000000.0,361.949,17999320000000.0,4.629078e+22,1505.565796,-6981.8,12358.57,4.545,-0.2066,38.211
N/A,1764.766,41752000000.0,1.728497e+23,41691470000000.0,168.432,9903278000000.0,3.115162e+22,1524.206421,-4796.3,2420.741,3.526,-0.2179,8.859
N/A,10.387,2025000000.0,1.055934e+21,367284000000.0,2.099,427073800000.0,1.217412e+20,4.781774,276.53,2214.775,0.0,0.259,38.719
N/A,780.057,14612000000.0,1.174356e+23,16258240000000.0,89.113,6365749000000.0,1.158189e+22,530.932861,-1636.3,5197.642,3.625,-0.2124,20.714
M,138.99,0.0,1.659978e+22,3377167000000.0,13.218,575584900000.0,5.207121e+21,125.367203,0.0,1380.388,4.333,0.0,8.504
M,6494.233,107290000000.0,1.31291e+24,119951200000000.0,1483.617,54300330000000.0,9.613768e+22,3137.099609,-17805.0,6927.46,4.916,-0.3148,17.914
X,1589.326,0.0,2.196074e+23,30284150000000.0,378.065,9130404000000.0,2.894466e+22,534.301331,0.0,3629.849,4.146,0.0,12.268
N/A,197.303,2965300000.0,1.022587e+22,3770597000000.0,2.892,1949283000000.0,2.185446e+21,215.562027,-255.95,2278.09,0.0,-0.1637,6.598
N/A,229.988,4148900000.0,1.211846e+22,4682983000000.0,22.453,1733512000000.0,2.845115e+21,202.195236,-540.79,2135.011,0.0,-0.2472,4.469
M,2829.139,55794000000.0,8.016188e+23,49495070000000.0,737.806,32305330000000.0,3.022819e+22,2942.576172,-3528.3,15447.83,4.687,-0.12,44.111
M,1995.627,35519000000.0,3.5473e+23,40034280000000.0,137.696,3698950000000.0,3.526122e+22,876.129395,-7832.1,4702.92,4.329,-0.4183,19.433
N/A,419.853,5545900000.0,2.984035e+22,9893968000000.0,3.329,2060322000000.0,5.180448e+21,456.000549,-662.69,2426.238,3.259,-0.2267,13.098
M,893.658,0.0,2.753738e+23,16643850000000.0,60.397,6142071000000.0,2.05803e+22,645.631409,0.0,6495.406,4.501,0.0,22.999
N/A,125.614,2078800000.0,7.410516e+21,2569328000000.0,3.779,502133500000.0,1.509215e+21,94.823494,-48.56,2432.441,0.0,-0.0443,7.062
N/A,483.468,0.0,6.083752e+22,8671447000000.0,7.434,142287200000.0,8.958465e+21,183.940063,0.0,3964.505,3.8,0.0,9.987
N/A,430.42,8913000000.0,3.408141e+22,10224000000000.0,30.401,2033102000000.0,4.931437e+21,367.018555,380.14,2815.452,3.066,0.0809,18.749
N/A,554.418,11460000000.0,1.235001e+23,11361210000000.0,5.553,1237611000000.0,1.044658e+22,286.280548,-1870.6,5832.174,3.849,-0.3096,25.036
N/A,70.232,1167200000.0,4.343071e+21,1156767000000.0,6.974,716718400000.0,7.1318e+20,28.842737,-105.71,3621.569,0.0,-0.1718,4.873
M,2894.658,55854000000.0,8.117468e+23,50518160000000.0,709.616,28344840000000.0,3.084268e+22,2933.845703,-3719.8,15442.24,4.674,-0.1263,43.436
M,4547.817,65747000000.0,1.157797e+24,84763260000000.0,897.272,34454670000000.0,4.410166e+22,2365.128418,-2725.6,12220.61,4.974,-0.0786,50.168
M,6550.327,107330000000.0,1.301062e+24,119279300000000.0,1474.605,53354340000000.0,9.627386e+22,3156.032959,-17925.0,6865.285,4.93,-0.3168,17.745
N/A,933.168,25399000000.0,8.37665e+22,20280620000000.0,178.954,9171534000000.0,1.25785e+22,1171.242432,-1265.1,3036.836,3.205,-0.0945,10.963
N/A,324.786,0.0,1.355412e+23,3933050000000.0,4.846,126188200000.0,5.996527e+21,233.947662,0.0,12139.97,4.882,0.0,54.312
M,2008.79,38795000000.0,3.722913e+23,43970140000000.0,94.191,1636486000000.0,3.27838e+22,1264.303589,-5622.4,5496.569,4.009,-0.2749,22.284
N/A,1790.226,32926000000.0,2.060272e+23,35449350000000.0,189.986,8978185000000.0,3.251604e+22,814.128357,-6943.2,3118.683,4.121,-0.4,10.932
N/A,652.236,12401000000.0,1.043026e+23,14510850000000.0,13.187,220976300000.0,9.311925e+21,546.937622,-728.33,5406.005,0.0,-0.1114,23.314
M,3784.314,67751000000.0,8.03091e+23,72505620000000.0,311.23,16137800000000.0,5.443851e+22,1709.922852,-11054.0,7612.344,4.694,-0.3095,27.128
N/A,256.723,4709300000.0,2.849279e+22,4474508000000.0,51.624,2091677000000.0,5.165461e+21,64.570915,-1202.6,3022.639,2.798,-0.4844,6.467
M,159.301,12252000000.0,1.55065e+22,3038117000000.0,13.152,637293600000.0,3.619225e+21,48.553738,-2261.1,2153.881,3.019,-0.3501,4.722
M,2894.658,55854000000.0,8.117468e+23,50518160000000.0,709.616,28344840000000.0,3.084268e+22,2933.845703,-3719.8,15442.24,4.674,-0.1263,43.436
N/A,57.656,2785200000.0,2.262763e+21,1223865000000.0,5.512,464419200000.0,7.505695e+20,171.343628,410.37,1393.156,0.0,0.2795,1.308
N/A,246.121,0.0,3.464793e+22,4093333000000.0,33.142,1051899000000.0,5.321092e+21,143.252563,0.0,3635.652,3.496,0.0,16.472
M,5541.622,62958000000.0,8.681044e+23,103593000000000.0,392.09,10712700000000.0,5.365997e+22,3914.993164,-5506.2,7278.053,5.022,-0.1659,29.324
N/A,79.041,1464100000.0,7.05792e+21,1406946000000.0,10.379,507929900000.0,1.011811e+21,54.341087,-101.33,3777.201,0.0,-0.1313,6.112
N/A,349.732,5942800000.0,4.978246e+22,6751830000000.0,4.229,595394000000.0,4.873281e+21,200.89212,-861.39,5604.897,2.933,-0.2749,22.01
N/A,0.513,1111500000.0,4.134228e+19,18910540000.0,0.231,33307220000.0,1.020958e+19,0.449855,204.54,1111.793,2.753,0.3491,10.714
X,1617.363,0.0,2.279901e+23,30645690000000.0,407.789,11878700000000.0,2.83848e+22,544.570312,0.0,3934.94,4.183,0.0,13.255
M,2368.22,0.0,2.93189e+23,37859520000000.0,79.9,3470588000000.0,2.965894e+22,858.259521,0.0,5740.781,4.863,0.0,17.667
N/A,266.612,8546400000.0,1.600832e+22,5793582000000.0,25.635,1699077000000.0,7.641957e+21,106.375427,-2343.9,1004.254,0.0,-0.5202,0.367
M,5654.735,63063000000.0,8.715556e+23,106544400000000.0,405.723,8583379000000.0,5.414572e+22,3911.695068,-5595.0,7244.317,5.047,-0.1683,29.504
M,2224.957,45750000000.0,8.220606e+23,43097230000000.0,166.488,10128850000000.0,2.769721e+22,1141.645142,-2682.2,16004.78,4.523,-0.1112,51.032
M,142.81,11381000000.0,1.407173e+22,2691490000000.0,13.315,426680600000.0,3.414217e+21,46.905399,-2061.7,2064.256,2.853,-0.3436,4.442
M,620.141,0.0,4.997276e+22,12267030000000.0,130.711,4405107000000.0,1.23145e+22,238.811279,0.0,1916.807,3.471,0.0,4.712
N/A,150.705,0.0,2.958804e+22,2136009000000.0,64.945,1991758000000.0,1.695418e+21,50.25124,0.0,9871.252,3.93,0.0,38.857
M,1987.361,40755000000.0,3.323089e+23,42520080000000.0,303.136,15259650000000.0,3.084885e+22,1158.036743,-6317.9,5137.759,4.263,-0.2941,22.075
N/A,454.665,0.0,1.291864e+23,5725349000000.0,34.211,409259100000.0,5.926734e+21,347.882751,0.0,13088.76,4.443,0.0,45.815
M,155.038,12051000000.0,1.522853e+22,2888797000000.0,19.266,955994000000.0,3.436405e+21,50.111408,-2052.0,2251.056,3.023,-0.323,5.85
M,3465.91,41143000000.0,5.211676e+23,68804360000000.0,964.665,41354680000000.0,2.97932e+22,1756.638184,-1992.4,7569.338,4.811,-0.0919,36.976
N/A,1619.688,23750000000.0,1.281397e+23,39311560000000.0,155.071,10983530000000.0,2.242106e+22,1298.294922,-2735.9,2421.025,3.583,-0.2185,11.954
M,1089.792,0.0,2.182681e+23,17974950000000.0,5.773,3403600000000.0,2.154709e+22,509.088013,0.0,5556.787,4.049,0.0,18.896
N/A,58.033,2693000000.0,3.43091e+21,1338253000000.0,5.948,494396100000.0,1.862459e+21,35.445667,-716.16,828.0226,0.0,-0.5044,0.032
M,659.66,0.0,2.379045e+23,10508300000000.0,127.341,4123568000000.0,1.119579e+22,734.450562,0.0,10707.01,4.939,0.0,31.516
M,1726.668,42746000000.0,7.68126e+23,34985970000000.0,40.943,2624987000000.0,2.676008e+22,1304.499878,-2600.0,15047.32,4.21,-0.1154,52.445
M,4577.855,65655000000.0,1.157708e+24,84578580000000.0,947.806,40893850000000.0,4.391242e+22,2359.753418,-2697.4,12316.35,4.956,-0.0779,50.511
N/A,23.892,868100000.0,1.10559e+21,610524500000.0,4.193,316684600000.0,3.024444e+20,40.011318,28.858,1445.303,0.0,0.0631,5.903
N/A,732.011,13864000000.0,2.256298e+23,16548100000000.0,228.02,11303760000000.0,9.499171e+21,512.956238,-446.95,11510.59,4.23,-0.0612,46.084
N/A,551.838,10406000000.0,8.776353e+22,12182800000000.0,17.563,1384962000000.0,1.086689e+22,306.865723,-2111.5,3833.892,3.4,-0.3849,18.321
X,2010.365,28077000000.0,4.348883e+23,24838670000000.0,30.123,789757100000.0,1.790875e+22,571.240784,-2333.3,14385.23,4.391,-0.1576,33.166
N/A,138.204,8706100000.0,7.105142e+21,3309167000000.0,12.285,266228900000.0,3.840857e+21,41.755432,-2222.2,798.519,0.0,-0.4842,0.194
M,5301.083,62303000000.0,8.556999e+23,98568220000000.0,442.953,8569349000000.0,5.187235e+22,3888.900391,-5137.7,7447.791,4.975,-0.1564,28.875
M,156.63,12202000000.0,1.531797e+22,2969782000000.0,18.949,938442200000.0,3.504614e+21,49.583942,-2104.5,2188.658,3.009,-0.3271,6.072
N/A,176.431,2518600000.0,8.718082e+21,3830101000000.0,0.579,1010136000000.0,2.133579e+21,207.429947,-296.34,1877.21,1.577,-0.2232,6.005
M,5340.088,62391000000.0,8.531112e+23,99173440000000.0,490.298,8305911000000.0,5.215954e+22,3893.975342,-5224.1,7343.348,4.988,-0.1588,29.053
M,2712.215,38888000000.0,5.299757e+23,48868660000000.0,378.568,15864220000000.0,3.465189e+22,1152.635986,-6130.5,7910.26,4.794,-0.299,32.893
N/A,699.255,14883000000.0,4.715586e+22,16309350000000.0,8.774,4745049000000.0,1.169905e+22,621.20166,-1137.5,1764.36,2.461,-0.145,4.015
M,493.451,14462000000.0,2.039201e+23,10534520000000.0,140.371,4306446000000.0,6.95721e+21,655.890442,702.42,13275.9,0.0,0.0921,44.821
N/A,22.359,1236000000.0,9.445934e+20,500889000000.0,6.925,536811000000.0,2.643575e+20,45.916954,50.248,1642.647,0.0,0.0771,3.926
N/A,51.382,3293900000.0,2.50513e+21,1045051000000.0,15.498,938291600000.0,9.995056e+20,26.656912,46.966,1320.96,0.0,0.027,0.21
N/A,204.311,4671700000.0,2.820132e+22,3680287000000.0,12.18,474687300000.0,5.587667e+21,94.726707,-1314.5,2619.046,2.872,-0.5337,4.835
M,2269.381,28176000000.0,4.463414e+23,37629340000000.0,1400.348,64968060000000.0,2.060358e+22,765.741455,-2457.9,11470.23,4.85,-0.1655,38.169
M,2882.82,40948000000.0,5.796582e+23,50895070000000.0,350.663,12081330000000.0,3.514265e+22,1183.720215,-6065.0,8649.922,4.813,-0.2809,34.661
N/A,1763.785,41479000000.0,1.728196e+23,40545920000000.0,173.692,13422620000000.0,3.003354e+22,1502.528076,-5342.0,2611.235,3.505,-0.2443,8.464
C,1273.737,23207000000.0,9.009034e+22,30320720000000.0,31.109,4258109000000.0,3.23212e+22,732.431213,-6955.6,1207.491,3.113,-0.5685,2.519
N/A,117.458,2629100000.0,7.363133e+21,2789632000000.0,12.348,911354600000.0,1.797698e+21,132.449295,-196.17,1808.33,0.0,-0.1415,5.121
X,1589.326,0.0,2.196074e+23,30284150000000.0,378.065,9130404000000.0,2.894466e+22,534.301331,0.0,3629.849,4.146,0.0,12.268
N/A,188.471,2318200000.0,1.795337e+22,3592139000000.0,89.06,5269759000000.0,1.334961e+21,213.696884,-182.64,5396.666,3.407,-0.1494,32.056
M,5535.899,62874000000.0,8.678037e+23,103579300000000.0,409.307,7756710000000.0,5.331894e+22,3912.264893,-5405.5,7312.168,5.013,-0.1631,29.231
M,4610.35,65834000000.0,1.153973e+24,85225020000000.0,840.268,33783060000000.0,4.417299e+22,2347.197998,-3059.0,12408.1,4.914,-0.0881,49.984
N/A,655.033,15409000000.0,4.069228e+22,14558330000000.0,63.566,3430227000000.0,9.058385e+21,537.363892,-963.39,2079.878,2.412,-0.1186,4.113
N/A,32.172,882170000.0,1.442363e+21,693712900000.0,2.592,267843300000.0,4.055806e+20,34.087784,-43.073,1710.363,0.0,-0.0926,3.465
M,718.059,24803000000.0,2.774292e+23,11805930000000.0,69.436,953844900000.0,1.850923e+22,474.007812,-3481.0,7583.975,3.878,-0.2662,28.546
N/A,89.123,9522600000.0,5.213017e+21,2226969000000.0,1.133,685611200000.0,2.754928e+21,38.736885,-2135.5,815.7385,0.0,-0.4254,0.104
N/A,60.791,937210000.0,6.934156e+21,1268553000000.0,8.612,394117300000.0,7.798454e+20,59.3843,-96.365,4474.145,0.0,-0.195,15.253
M,4594.19,65726000000.0,1.160142e+24,84635370000000.0,817.872,34324030000000.0,4.407027e+22,2351.246582,-2767.1,12378.09,4.96,-0.0799,50.057
N/A,1028.16,34041000000.0,1.76528e+23,22096140000000.0,56.807,4681489000000.0,2.452997e+22,491.510315,-7372.3,3155.373,3.658,-0.4108,10.832
M,4547.817,65747000000.0,1.157797e+24,84763260000000.0,897.272,34454670000000.0,4.410166e+22,2365.128418,-2725.6,12220.61,4.974,-0.0786,50.168
M,1676.883,42214000000.0,7.664608e+23,34546830000000.0,48.908,4510258000000.0,2.623454e+22,1299.559082,-2537.2,15396.43,4.226,-0.114,52.901
N/A,224.818,3124700000.0,1.709087e+22,4723644000000.0,27.295,2066197000000.0,2.253983e+21,262.321106,-169.42,3244.881,1.899,-0.1028,15.482
M,2567.867,38439000000.0,6.427779e+23,50854020000000.0,872.927,33105760000000.0,2.740026e+22,1115.934814,-2392.2,11621.57,4.821,-0.118,47.979
N/A,95.838,1403800000.0,5.718781e+21,2164774000000.0,28.52,1578017000000.0,8.471443e+20,75.667336,19.327,2480.512,3.134,0.0261,26.901
N/A,221.079,4670900000.0,2.968866e+22,4308311000000.0,16.237,824015800000.0,5.65214e+21,98.022171,-1331.6,2672.785,2.999,-0.5408,6.062
M,2234.819,26735000000.0,3.820238e+23,43028990000000.0,295.514,13974680000000.0,2.222886e+22,980.646912,-1617.0,8011.888,4.727,-0.1147,34.085
N/A,260.068,0.0,4.439504e+22,4444293000000.0,30.138,1455114000000.0,4.386263e+21,318.582367,0.0,4512.537,0.0,0.0,23.083
N/A,391.954,14224000000.0,8.202412e+22,8330698000000.0,5.386,656350400000.0,6.972623e+21,323.099121,153.52,5925.086,3.629,0.0205,20.107
N/A,1707.252,39869000000.0,4.289058e+23,37491550000000.0,279.008,8513771000000.0,2.598566e+22,1130.462769,-1247.2,7733.54,4.069,-0.0593,34.769
N/A,625.918,12171000000.0,1.018201e+23,14166380000000.0,0.014,915568100000.0,9.210322e+21,544.069214,-735.19,5265.38,1.977,-0.1146,24.044
N/A,518.658,6396600000.0,4.122435e+22,9413042000000.0,8.473,4566616000000.0,5.76193e+21,526.729248,-1181.3,3718.868,2.305,-0.3503,14.652
M,4577.855,65655000000.0,1.157708e+24,84578580000000.0,947.806,40893850000000.0,4.391242e+22,2359.753418,-2697.4,12316.35,4.956,-0.0779,50.511
N/A,1658.442,48207000000.0,4.642879e+23,35730010000000.0,153.196,3873045000000.0,3.008476e+22,1216.67627,-2875.0,7679.529,4.064,-0.1131,24.242
N/A,614.735,9161800000.0,8.06632e+22,12981430000000.0,6.944,2371541000000.0,7.357573e+21,529.617859,-1019.3,4601.039,2.964,-0.211,31.202
N/A,182.895,4151300000.0,9.896004e+21,4253058000000.0,20.278,1391875000000.0,2.637232e+21,246.334854,-91.133,1648.576,0.0,-0.0416,2.566
N/A,1740.762,31827000000.0,2.048947e+23,35121760000000.0,156.649,7954333000000.0,3.331891e+22,805.812622,-7031.5,2936.039,4.173,-0.4191,10.368
N/A,653.834,18601000000.0,1.309355e+23,13421450000000.0,7.816,1806044000000.0,1.228056e+22,308.159088,-2850.1,5573.675,3.654,-0.2906,20.414
M,1123.604,30238000000.0,4.821449e+23,20923790000000.0,256.479,13869010000000.0,2.462704e+22,634.742981,-3549.4,9713.42,4.109,-0.2227,28.162
N/A,178.095,7297900000.0,8.466847e+22,2874460000000.0,13.859,480208100000.0,3.419927e+21,109.332077,-793.07,13579.18,3.424,-0.2061,49.244
N/A,271.603,11059000000.0,1.362039e+22,6621340000000.0,11.063,1608947000000.0,9.322836e+21,91.557938,-3080.2,613.1025,0.0,-0.5283,0.149
M,4694.4,66237000000.0,1.159186e+24,85464430000000.0,895.421,41268710000000.0,4.436128e+22,2347.317627,-3322.5,12655.71,4.952,-0.0951,50.15
M,2304.977,0.0,3.915347e+23,37650180000000.0,88.341,3559153000000.0,4.919009e+22,2135.739014,0.0,4708.317,4.718,0.0,10.869
M,4683.448,66098000000.0,1.157259e+24,86086040000000.0,901.815,41663590000000.0,4.438924e+22,2350.470703,-3219.2,12486.75,4.945,-0.0924,50.156
M,3077.788,33586000000.0,5.645433e+23,58399120000000.0,194.402,3117555000000.0,2.312625e+22,1589.143188,-931.74,9967.262,4.878,-0.0526,48.395
N/A,80.585,1670200000.0,1.245538e+22,1437783000000.0,19.299,725105400000.0,9.454442e+20,92.475266,-44.475,6781.449,0.0,-0.0505,25.524
N/A,43.96,8346600000.0,3.609049e+21,805150100000.0,10.039,392735500000.0,8.411026e+20,16.514349,-1958.0,2270.315,0.0,-0.445,3.008
N/A,169.506,3416400000.0,1.6943e+22,3665999000000.0,15.534,1310648000000.0,2.566998e+21,137.45134,-392.38,3190.261,3.027,-0.2179,11.728
N/A,453.28,6595100000.0,3.819855e+22,9296462000000.0,69.963,3069877000000.0,5.253711e+21,399.658569,-651.25,3199.445,3.308,-0.1873,19.822
M,3427.227,54576000000.0,5.885967e+23,70341100000000.0,32.005,3657360000000.0,4.801844e+22,2273.071289,-6936.0,5956.504,4.577,-0.2411,23.289
N/A,32.653,1165700000.0,2.046458e+21,643156300000.0,1.959,98395000000.0,5.626966e+20,27.923967,-93.923,1950.577,0.0,-0.1528,2.911
M,890.901,0.0,2.733046e+23,16947780000000.0,70.766,4376928000000.0,2.083501e+22,641.782166,0.0,6283.427,4.588,0.0,22.829
M,4945.085,68010000000.0,1.065381e+24,80215230000000.0,715.079,16381210000000.0,5.038626e+22,1877.838745,-6987.0,11479.6,5.117,-0.1949,35.181
M,4815.96,111460000000.0,2.065699e+24,93187400000000.0,934.313,39190670000000.0,6.339608e+22,3187.572021,-5534.3,16840.54,4.82,-0.0942,49.457
N/A,36.469,1246200000.0,2.068254e+21,716074200000.0,1.074,60859900000.0,5.426227e+20,26.371367,-77.338,2082.044,0.0,-0.1177,3.743
M,54.489,4873000000.0,2.850859e+21,1162459000000.0,2.388,2251003000.0,1.93503e+21,27.086758,-1006.1,698.3277,0.0,-0.3917,0.0
N/A,1166.27,23293000000.0,3.229616e+23,26953640000000.0,74.852,5563567000000.0,1.643161e+22,866.406799,-1044.4,8797.379,2.998,-0.085,40.933
M,63.099,0.0,1.848282e+22,1387276000000.0,2.442,2262098000000.0,1.573e+21,323.933502,0.0,4754.806,4.673,0.0,33.823
N/A,21.097,725420000.0,1.113171e+21,451634600000.0,2.722,141836400000.0,2.999916e+20,17.792168,-37.913,1830.138,0.0,-0.0991,2.838
N/A,625.616,18948000000.0,2.781146e+23,14188000000000.0,52.976,1116067000000.0,1.050068e+22,522.659607,-520.32,13107.38,3.563,-0.0521,47.306
M,656.682,0.0,2.20122e+23,10418180000000.0,89.565,1919865000000.0,1.082925e+22,723.682922,0.0,10321.25,4.831,0.0,31.453
M,5654.735,63063000000.0,8.715556e+23,106544400000000.0,405.723,8583379000000.0,5.414572e+22,3911.695068,-5595.0,7244.317,5.047,-0.1683,29.504
N/A,816.094,15663000000.0,1.868757e+23,15888350000000.0,23.086,2602194000000.0,1.349394e+22,495.451691,-2272.2,7496.401,4.152,-0.2752,29.434
N/A,40.814,0.0,4.742826e+21,671100000000.0,12.073,486540600000.0,9.618206e+20,20.49909,0.0,2863.901,0.0,0.0,8.982
N/A,29.318,0.0,5.805471e+20,596085500000.0,1.725,124157100000.0,9.313299e+20,19.142948,0.0,332.4293,4.127,0.0,0.0
N/A,389.858,6523400000.0,3.901262e+22,7023601000000.0,31.311,1255799000000.0,7.644357e+21,124.531502,-1864.9,2593.677,3.535,-0.5423,5.147
M,4625.426,65557000000.0,1.156963e+24,85239000000000.0,885.429,37654060000000.0,4.403174e+22,2350.859619,-2755.7,12286.37,4.974,-0.0797,50.037
N/A,389.464,13631000000.0,8.253852e+22,8596298000000.0,13.501,1080801000000.0,6.975715e+21,314.597107,-1.4994,5781.972,3.493,-0.0002,22.086
N/A,392.973,8804100000.0,8.742429e+22,7949727000000.0,32.852,1531198000000.0,6.291148e+21,224.370438,-743.96,7265.13,3.452,-0.1603,27.193
N/A,1478.856,29811000000.0,3.828317e+23,30831880000000.0,206.51,7332230000000.0,1.795118e+22,1226.174438,-1078.5,9847.212,4.016,-0.0686,39.332
N/A,327.274,7824000000.0,2.189168e+22,7765407000000.0,8.423,1116628000000.0,6.606441e+21,260.997925,-1290.2,1463.306,2.232,-0.3128,2.326
N/A,211.067,5697600000.0,1.550816e+22,4871421000000.0,3.382,552778100000.0,4.785248e+21,153.279694,-1138.9,1461.141,2.065,-0.3792,2.152
N/A,467.71,13827000000.0,4.293404e+22,9223780000000.0,11.291,3589908000000.0,1.284069e+22,156.189255,-4196.8,1688.01,2.771,-0.5757,3.603
N/A,781.266,14061000000.0,1.156842e+23,16283210000000.0,74.822,5089360000000.0,1.159549e+22,515.066956,-1730.4,5030.53,3.346,-0.2334,20.553
N/A,395.479,8762700000.0,2.887248e+22,7995021000000.0,70.52,3479937000000.0,6.873332e+21,194.006912,-1954.8,2026.34,0.0,-0.4232,3.71
N/A,562.034,11310000000.0,7.865742e+22,11438470000000.0,51.143,4469830000000.0,1.090567e+22,315.641602,-2045.7,3727.611,3.635,-0.3431,11.196
N/A,483.959,0.0,8.76182e+22,7555598000000.0,109.491,5497787000000.0,8.460088e+21,240.431305,0.0,5980.361,3.694,0.0,21.184
N/A,524.145,6211900000.0,6.043365e+22,11257490000000.0,123.655,6294705000000.0,4.955678e+21,269.19043,-548.4,4911.044,3.932,-0.1675,36.942
M,63.099,0.0,1.848282e+22,1387276000000.0,2.442,2262098000000.0,1.573e+21,323.933502,0.0,4754.806,4.673,0.0,33.823
M,2352.974,0.0,2.948463e+23,37338840000000.0,61.343,5427960000000.0,2.970409e+22,868.909058,0.0,5796.595,4.753,0.0,17.537
M,4577.855,65655000000.0,1.157708e+24,84578580000000.0,947.806,40893850000000.0,4.391242e+22,2359.753418,-2697.4,12316.35,4.956,-0.0779,50.511
M,5541.622,62958000000.0,8.681044e+23,103593000000000.0,392.09,10712700000000.0,5.365997e+22,3914.993164,-5506.2,7278.053,5.022,-0.1659,29.324
M,275.01,0.0,6.109337e+22,4165939000000.0,80.021,3312322000000.0,5.311679e+21,183.980743,0.0,6739.306,3.385,0.0,23.279
M,2806.197,55753000000.0,8.047956e+23,49240930000000.0,716.318,31536490000000.0,3.036616e+22,2940.703613,-3634.8,15487.65,4.673,-0.1237,43.981
N/A,366.942,5390700000.0,2.907256e+22,8205561000000.0,75.436,2744572000000.0,5.271761e+21,275.47171,-675.47,2401.937,3.499,-0.2377,13.375
M,2988.152,51809000000.0,8.529534e+23,59294490000000.0,238.044,5286815000000.0,3.75945e+22,1444.903442,-4187.4,11652.72,4.836,-0.1533,47.7
N/A,210.405,3117100000.0,2.007956e+22,4407537000000.0,44.758,918058500000.0,2.217785e+21,137.237778,-220.71,4052.438,3.299,-0.1343,23.077
M,2951.53,51624000000.0,8.491839e+23,58236530000000.0,239.448,4430392000000.0,3.741694e+22,1432.662109,-4137.3,11642.41,4.733,-0.152,47.93
N/A,21.011,901920000.0,1.269584e+21,549668400000.0,1.804,119153200000.0,3.260479e+20,21.057732,22.007,1585.373,0.0,0.0463,3.98
N/A,175.699,3061100000.0,1.043828e+22,3980920000000.0,14.682,601698500000.0,3.750185e+21,87.370682,-815.73,1288.718,0.0,-0.5055,0.869
M,4551.547,65688000000.0,1.158586e+24,85307350000000.0,918.288,34857710000000.0,4.409561e+22,2365.981201,-2674.1,12224.14,4.941,-0.0772,50.277
N/A,460.018,10757000000.0,1.22234e+23,9897240000000.0,108.129,2204592000000.0,6.208197e+21,542.821716,-12.53,8741.629,3.361,-0.0022,42.635
C,1302.88,23257000000.0,9.393686e+22,30853150000000.0,37.2,4497132000000.0,3.268354e+22,755.130432,-6857.6,1246.181,3.14,-0.5593,2.875
M,138.99,0.0,1.659978e+22,3377167000000.0,13.218,575584900000.0,5.207121e+21,125.367203,0.0,1380.388,4.333,0.0,8.504
N/A,126.346,2549400000.0,1.129972e+22,2026302000000.0,1.223,270162100000.0,1.826013e+21,51.289333,-334.73,3904.791,0.0,-0.2491,3.167
M,4870.966,87693000000.0,1.158624e+24,100119600000000.0,152.328,5345126000000.0,6.438914e+22,2903.017334,-8637.4,8602.814,4.689,-0.1868,34.697
X,1617.363,0.0,2.279901e+23,30645690000000.0,407.789,11878700000000.0,2.83848e+22,544.570312,0.0,3934.94,4.183,0.0,13.255
N/A,712.569,17811000000.0,2.186056e+23,14776360000000.0,63.356,1323228000000.0,1.155217e+22,427.674011,-1797.3,9369.711,3.953,-0.1914,35.73
N/A,475.484,14052000000.0,4.589532e+22,9425952000000.0,14.952,4072170000000.0,1.301399e+22,157.70018,-4284.6,1790.507,3.113,-0.5784,3.585
N/A,776.499,20195000000.0,4.633112e+22,15919080000000.0,147.988,8142451000000.0,1.987832e+22,263.374207,-5356.1,1179.482,3.151,-0.5031,0.734
